loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
4000,4000,4000.0, 36 months, 13.56%,135.86,C,C1,,< 1 year,RENT,65000.0,Not Verified,Nov-2018,Current,n,,,debt_consolidation,Debt consolidation,917xx,CA,10.36,0,Apr-2015,0,,,7,0,2874,42.9%,8,w,1277.74,1277.74,3529.35,3529.35,2722.26,807.09,0.0,0.0,0.0,Jan-2021,135.86,Feb-2021,Jan-2021,0,,1,Individual,,,,0,0,23649,2,1,1,1,8.0,20775,91.0,2,2,1139,80.0,6700,0,1,0,3,3378.0,3826.0,42.9,0,0,27.0,43,2,2,0,2.0,,14.0,,0,4,4,6,6,2,6,6,4,7,0.0,0,0,3,100.0,16.7,0,0,29517,23649,6700,22817,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
12000,12000,12000.0, 60 months, 14.47%,282.16,C,C2,Order Resolution Specialist ,7 years,RENT,50500.0,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,846xx,UT,32.44,0,Aug-2006,0,68.0,,13,0,7904,47.9%,19,w,8017.06,8017.06,7100.9,7100.9,3982.94,3117.96,0.0,0.0,0.0,Jan-2021,282.16,Feb-2021,Jan-2021,0,68.0,1,Joint App,85500.0,19.37,Not Verified,0,0,59014,1,7,0,0,26.0,51110,67.0,1,2,4505,63.0,16500,0,2,1,2,4540.0,6996.0,53.0,0,0,148.0,68,6,6,0,6.0,,10.0,,1,3,3,3,4,12,6,7,3,13,0.0,0,0,1,94.7,0.0,0,0,93055,59014,14900,76555,8405.0,Sep-2010,0.0,0.0,6.0,35.9,1.0,8.0,1.0,0.0,37.0,N,,,,,,,,,,,,,,,N,,,,,,
21000,21000,21000.0, 60 months, 11.80%,465.02,B,B4,Network Administrator,1 year,MORTGAGE,66000.0,Source Verified,Dec-2018,Charged Off,n,,,debt_consolidation,Debt consolidation,402xx,KY,22.33,1,Jul-2008,1,18.0,,18,0,9127,61.7%,39,w,0.0,0.0,5888.08,5888.08,1863.91,1274.21,0.0,2749.96,494.9928,Jul-2019,465.02,,Aug-2020,0,48.0,1,Individual,,,,0,0,301222,1,12,1,2,5.0,57598,88.0,1,1,8646,83.0,14800,1,0,1,3,16735.0,854.0,91.0,0,0,125.0,85,8,5,2,83.0,,4.0,18.0,0,1,3,1,1,30,5,7,3,18,0.0,0,0,2,89.7,100.0,0,0,353680,66725,9500,65521,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
10000,10000,10000.0, 36 months, 16.91%,356.08,C,C5,,,OWN,50000.0,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,487xx,MI,24.12,2,May-2005,0,22.0,,6,0,3667,79.7%,11,w,3605.23,3605.23,8883.21,8883.21,6394.77,2488.44,0.0,0.0,0.0,Jan-2021,356.08,Feb-2021,Jan-2021,0,22.0,1,Individual,,,,0,0,40598,0,2,1,2,9.0,34005,96.0,1,1,2960,94.0,4600,0,0,2,3,6766.0,103.0,97.2,0,0,163.0,121,8,8,1,8.0,22.0,8.0,22.0,2,2,3,2,5,4,3,6,3,6,0.0,0,2,2,81.8,100.0,0,0,62483,37672,3700,35483,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
27000,27000,27000.0, 36 months,  7.21%,836.28,A,A3,Natural Resource Specialist,6 years,RENT,72000.0,Source Verified,Nov-2018,Fully Paid,n,,,debt_consolidation,Debt consolidation,971xx,OR,37.05,0,Sep-2010,0,,,10,0,13236,25%,25,w,0.0,0.0,29224.921170587,29224.92,27000.0,2224.92,0.0,0.0,0.0,May-2020,15094.68,,Jun-2020,0,,1,Individual,,,,0,0,111230,0,4,0,2,13.0,97994,76.0,0,0,6123,46.0,53000,2,2,0,2,11123.0,30684.0,25.2,0,0,97.0,70,30,13,0,30.0,,13.0,,0,3,4,4,5,15,6,10,4,10,0.0,0,0,0,100.0,0.0,0,0,174887,111230,41000,121887,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
30600,30600,30600.0, 36 months, 25.34%,1222.16,E,E3,Welder/Container Inspector,8 years,RENT,68000.0,Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,672xx,KS,20.0,0,Mar-1986,0,,,5,0,25081,100%,7,w,11885.47,11885.47,30510.92,30510.92,18714.53,11796.39,0.0,0.0,0.0,Jan-2021,1222.16,Feb-2021,Jan-2021,0,,1,Individual,,,,0,0,30848,0,1,0,0,46.0,5767,29.0,0,0,11119,100.0,25000,0,0,0,0,6169.0,6250.0,100.0,0,0,150.0,85,54,46,0,54.0,,,,0,4,4,4,4,2,4,4,4,5,,0,0,0,100.0,100.0,0,0,45000,30848,25000,20000,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
18000,18000,18000.0, 60 months, 11.31%,394.16,B,B3,Outside sales ,3 years,MORTGAGE,60000.0,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,605xx,IL,18.6,0,Oct-2009,1,,,6,0,15935,72.8%,11,w,11394.88,11394.88,10154.0,10154.0,6605.12,3548.88,0.0,0.0,0.0,Jan-2021,394.16,Feb-2021,Jan-2021,0,,1,Individual,,,,0,0,73657,2,1,0,0,28.0,15206,65.0,2,2,8840,69.0,21900,1,3,2,2,12276.0,1432.0,90.9,0,0,90.0,110,2,2,1,2.0,,6.0,,0,3,4,3,5,4,4,6,4,6,0.0,0,0,2,100.0,66.7,0,0,99430,31141,15700,23530,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
6000,6000,6000.0, 36 months, 11.55%,198.0,B,B4,CSA,10+ years,MORTGAGE,95000.0,Verified,Oct-2018,Fully Paid,n,,,debt_consolidation,Debt consolidation,305xx,GA,19.97,0,Jun-2004,1,,,18,0,18677,19.7%,32,w,0.0,0.0,6442.9061349755,6442.91,6000.0,442.91,0.0,0.0,0.0,Jun-2019,5060.76,,Sep-2019,0,,1,Individual,,,,0,0,54022,3,2,1,1,3.0,35345,99.0,4,10,8951,34.0,94900,1,0,2,11,3001.0,29501.0,38.4,0,0,103.0,172,1,1,2,2.0,,3.0,,0,6,7,7,11,6,16,24,7,18,0.0,0,0,5,100.0,14.3,0,0,154750,54022,47900,59850,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
9600,9600,9600.0, 36 months, 26.31%,388.38,E,E4,Loan Officer ,3 years,RENT,240000.0,Source Verified,Nov-2018,Current,n,,,debt_consolidation,Debt consolidation,926xx,CA,5.34,3,Sep-2005,0,18.0,,10,0,14735,58%,26,w,3465.67,3465.67,10082.22,10082.22,6134.33,3928.47,19.42,0.0,0.0,Jan-2021,388.38,Feb-2021,Jan-2021,0,27.0,1,Individual,,,,0,1969,27981,1,2,2,5,10.0,13246,55.0,1,2,6986,56.0,25400,11,0,7,7,2798.0,10665.0,58.0,0,0,158.0,93,5,5,1,5.0,18.0,3.0,18.0,1,8,8,8,12,11,8,13,8,10,0.0,0,0,3,95.7,12.5,0,0,49681,27981,25400,24281,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
5000,5000,5000.0, 36 months,  7.21%,154.87,A,A3,Senior System Engineer,5 years,RENT,53500.0,Verified,Oct-2018,Fully Paid,n,,,credit_card,Credit card refinancing,641xx,MO,16.62,0,Jan-2007,0,39.0,,6,0,9452,28.6%,34,w,0.0,0.0,5363.961816322801,5363.96,5000.0,363.96,0.0,0.0,0.0,Dec-2019,3352.65,,Jan-2021,0,,1,Individual,,,,0,0,71604,0,3,0,3,17.0,62152,68.0,0,1,8398,46.0,33000,1,0,2,4,11934.0,13102.0,39.1,0,0,140.0,128,17,17,2,17.0,39.0,5.0,39.0,0,1,2,2,4,24,3,8,2,6,0.0,0,0,0,97.0,0.0,0,0,102364,71604,21500,69364,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
1000,1000,1000.0, 36 months, 12.98%,33.69,B,B5,Material Handler,10+ years,OWN,65000.0,Not Verified,Dec-2018,Fully Paid,n,,,credit_card,Credit card refinancing,481xx,MI,9.69,0,Sep-2004,0,,93.0,15,1,11708,39.6%,22,f,0.0,0.0,1069.0868719976,1069.09,1000.0,69.09,0.0,0.0,0.0,Jun-2019,901.36,,Jan-2021,0,,1,Individual,,,,0,0,13216,0,1,1,2,12.0,1508,75.0,0,0,1356,42.0,29600,2,0,1,2,881.0,12187.0,30.8,0,0,171.0,80,27,12,0,47.0,,12.0,,0,7,12,8,8,7,14,15,12,15,0.0,0,0,1,100.0,50.0,1,0,31600,13216,17600,2000,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
28000,28000,28000.0, 60 months, 10.08%,596.03,B,B1,Installations Manager,10+ years,MORTGAGE,183000.0,Source Verified,Oct-2018,Fully Paid,n,,,debt_consolidation,Debt consolidation,121xx,NY,31.31,0,Sep-1997,1,,,32,0,234375,45.5%,70,w,0.0,0.0,31928.23,31928.23,28000.0,3928.23,0.0,0.0,0.0,May-2020,21231.05,,Jun-2020,0,,1,Individual,,,,0,0,770526,3,8,2,10,2.0,150975,97.0,3,8,15203,70.0,347200,0,30,1,18,24079.0,21665.0,68.2,0,0,123.0,253,4,2,7,4.0,,4.0,,0,7,18,9,14,27,23,36,18,32,0.0,0,0,5,100.0,33.3,0,0,919576,385350,68200,156376,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
5500,5500,5500.0, 36 months,  7.56%,171.24,A,A3,,< 1 year,RENT,57000.0,Not Verified,Dec-2018,Fully Paid,n,,,debt_consolidation,Debt consolidation,770xx,TX,12.74,0,Aug-2006,0,,59.0,8,1,6739,44.9%,41,w,0.0,0.0,5738.972340865601,5738.97,5500.0,238.97,0.0,0.0,0.0,Nov-2019,526.31,,Jan-2021,0,,1,Individual,,,,0,0,125877,2,3,3,3,3.0,119138,99.0,2,4,2315,87.0,15000,1,0,2,7,15735.0,6694.0,39.7,0,0,148.0,133,6,3,0,13.0,,7.0,,0,2,4,2,6,29,5,12,4,8,0.0,0,0,5,100.0,0.0,1,0,132020,125877,11100,117020,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
25000,25000,25000.0, 36 months, 14.47%,860.16,C,C2,JOURNEYMAN CARPENTER,< 1 year,MORTGAGE,95000.0,Verified,Oct-2018,Charged Off,n,,,home_improvement,Home improvement,967xx,HI,34.12,2,Jun-1996,2,6.0,,8,0,99904,94%,9,w,0.0,0.0,26521.76,26521.76,24963.63,1515.12,43.01,0.0,0.0,Mar-2019,23875.0,,Jan-2021,0,41.0,1,Individual,,,,0,75,124918,0,2,0,0,32.0,25014,34.0,1,4,5649,94.0,106100,1,0,1,4,15614.0,2800.0,90.0,0,0,41.0,267,12,12,1,12.0,14.0,5.0,14.0,0,3,6,2,3,2,6,7,5,8,,0,0,1,78.0,66.7,0,0,180000,35619,8400,73900,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
10000,10000,10000.0, 60 months, 16.91%,248.05,C,C5,Teacher,< 1 year,MORTGAGE,50000.0,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,807xx,CO,18.94,0,Sep-1993,0,30.0,,8,0,8481,61.9%,17,w,6815.8,6815.8,6122.16,6122.16,3184.2,2937.96,0.0,0.0,0.0,Jan-2021,248.05,Feb-2021,Jan-2021,0,,1,Individual,,,,0,0,178248,3,2,1,1,5.0,7960,66.0,0,1,4927,64.0,13700,1,3,3,4,22281.0,273.0,94.8,0,0,207.0,303,18,4,4,133.0,60.0,6.0,30.0,0,1,4,1,3,6,4,7,4,8,0.0,0,0,3,76.5,100.0,0,0,187907,16441,5200,12035,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
9600,9600,9600.0, 36 months, 15.02%,332.89,C,C3,Director Credit and Collections,2 years,MORTGAGE,110000.0,Verified,Oct-2018,Current,n,,,moving,Moving and relocation,020xx,MA,26.74,0,Sep-2009,2,,95.0,16,1,5552,39.1%,21,w,2816.44,2816.44,9016.07,9016.07,6783.56,2232.51,0.0,0.0,0.0,Jan-2021,332.89,Feb-2021,Jan-2021,0,,1,Joint App,145000.0,22.14,Verified,0,0,228003,1,12,2,4,4.0,222451,95.0,0,1,3995,90.0,14200,0,1,4,5,14250.0,3275.0,60.5,0,0,109.0,74,19,4,0,61.0,,1.0,,0,2,3,2,2,17,4,4,3,16,0.0,0,0,2,100.0,50.0,1,0,241619,228003,8300,227419,19661.0,Aug-2012,1.0,0.0,10.0,69.3,5.0,5.0,0.0,0.0,,N,,,,,,,,,,,,,,,N,,,,,,
10000,10000,10000.0, 36 months, 13.56%,339.65,C,C1,Customer Service Manager,10+ years,MORTGAGE,120000.0,Not Verified,Oct-2018,Current,n,,,credit_card,Credit card refinancing,785xx,TX,13.12,0,Jul-2006,1,,,8,0,11943,70.7%,10,w,3193.51,3193.51,8830.91,8830.91,6806.49,2024.42,0.0,0.0,0.0,Jan-2021,0.0,Feb-2021,Jan-2021,0,,1,Individual,,,,0,0,288729,1,2,0,1,17.0,41001,71.0,2,3,5367,71.0,16900,0,1,8,6,36091.0,671.0,89.7,0,0,147.0,35,4,4,2,10.0,,2.0,,0,2,5,2,2,3,5,5,5,8,0.0,0,0,2,100.0,100.0,0,0,311197,52944,6500,51771,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
8000,8000,8000.0, 36 months, 11.06%,262.14,B,B3,,,OWN,20000.0,Not Verified,Oct-2018,Fully Paid,n,,,debt_consolidation,Debt consolidation,891xx,NV,21.19,0,Apr-1992,0,,88.0,7,1,2427,13.9%,12,w,0.0,0.0,8003.190666666899,8003.19,8000.0,3.19,0.0,0.0,0.0,Nov-2018,8008.11,,Oct-2018,0,,1,Individual,,,,0,0,6134,0,2,1,1,11.0,3707,49.0,0,1,2080,25.0,17500,1,0,1,2,876.0,10181.0,17.9,0,0,178.0,318,22,11,0,67.0,,11.0,,0,2,3,3,5,4,5,8,3,7,0.0,0,0,1,100.0,0.0,1,0,25000,6134,12400,7500,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
7800,7800,7800.0, 36 months,  6.67%,239.67,A,A2,,,RENT,30000.0,Verified,Oct-2018,Current,n,,,debt_consolidation,Debt consolidation,200xx,DC,1.8,0,Mar-1997,0,,,4,0,956,2.4%,6,w,2325.75,2325.75,6228.53,6228.53,5474.25,754.28,0.0,0.0,0.0,Jan-2021,0.0,Feb-2021,Jan-2021,0,,1,Joint App,82500.0,6.79,Source Verified,0,0,956,0,0,0,0,148.0,0,,0,0,534,2.0,39500,0,0,0,0,239.0,26544.0,3.5,0,0,148.0,259,59,59,0,252.0,,,,0,2,2,2,2,1,4,5,2,4,0.0,0,0,0,100.0,0.0,0,0,39500,956,27500,0,8041.0,Feb-2008,0.0,0.0,3.0,98.4,0.0,9.0,1.0,1.0,5.0,N,,,,,,,,,,,,,,,N,,,,,,
17000,17000,17000.0, 60 months,  6.67%,333.98,A,A2,Teacher,4 years,MORTGAGE,48000.0,Verified,Oct-2018,Fully Paid,n,,,credit_card,Credit card refinancing,460xx,IN,24.33,0,Aug-2003,0,,,6,0,20560,59.1%,32,w,0.0,0.0,18735.45,18735.45,17000.0,1735.45,0.0,0.0,0.0,Oct-2020,337.37,,Oct-2020,0,,1,Joint App,102000.0,15.52,,0,0,320034,0,1,0,1,17.0,36062,,1,1,7507,59.0,34800,1,0,0,2,53339.0,14240.0,59.1,0,0,182.0,163,11,11,3,11.0,,17.0,,0,4,4,4,7,19,4,10,4,6,0.0,0,0,1,100.0,50.0,0,0,350748,56622,34800,42348,27866.0,Jul-2006,1.0,3.0,15.0,86.1,11.0,9.0,0.0,0.0,,N,,,,,,,,,,,,,,,N,,,,,,
18000,18000,18000.0, 60 months, 10.08%,383.16,B,B1,Registered Nurse,10+ years,OWN,70000.0,Not Verified,Nov-2018,Current,n,,,credit_card,Credit card refinancing,594xx,MT,18.55,0,Feb-1994,0,,,15,0,2310,5.6%,33,w,11291.1,11291.1,10027.68,10027.68,6708.9,3318.78,0.0,0.0,0.0,Jan-2021,383.16,Feb-2021,Jan-2021,0,,1,Individual,,,,0,0,38753,0,2,0,1,16.0,36443,61.0,1,6,2107,21.0,41000,1,0,0,7,2768.0,29290.0,7.3,0,0,130.0,296,11,11,0,11.0,,16.0,,0,3,3,5,10,9,13,24,3,15,0.0,0,0,1,100.0,0.0,0,0,93488,38753,31600,52488,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
6000,6000,6000.0, 36 months, 17.97%,216.83,D,D1,Clinical Tech 2,4 years,RENT,40000.0,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,207xx,MD,22.62,0,Jun-2012,0,,,7,0,4867,82.5%,10,w,2191.59,2191.59,5408.77,5408.77,3808.41,1600.36,0.0,0.0,0.0,Jan-2021,216.83,Feb-2021,Jan-2021,0,,1,Individual,,,,0,0,17561,0,2,0,1,18.0,12694,61.0,0,0,1212,65.0,5900,2,1,0,1,2509.0,177.0,95.7,0,0,39.0,78,55,18,0,55.0,,17.0,,0,4,5,4,4,4,5,6,5,7,0.0,0,0,0,100.0,100.0,0,0,26886,17561,4100,20986,,,,,,,,,,,,,,,,,216.83,,,,,,,98.45721,2201.44,216.83,N,,,,,,
8000,8000,8000.0, 36 months, 15.02%,277.41,C,C3,fork lift driver,10+ years,RENT,72000.0,Source Verified,Nov-2018,Current,n,,,credit_card,Credit card refinancing,917xx,CA,18.45,0,Jul-2005,1,,95.0,10,1,4313,39.9%,16,w,2632.02,2632.02,7205.98,7205.98,5367.98,1838.0,0.0,0.0,0.0,Jan-2021,277.41,Feb-2021,Jan-2021,0,,1,Individual,,,,0,0,28743,1,4,1,2,2.0,24430,67.0,0,3,2280,61.0,10800,1,7,1,5,2874.0,4393.0,43.7,0,0,160.0,71,16,2,0,16.0,,2.0,,0,4,6,4,4,9,6,7,6,10,0.0,0,0,1,100.0,25.0,1,0,47289,28743,7800,36489,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
20000,20000,20000.0, 60 months, 13.56%,460.82,C,C1,Manager,10+ years,OWN,150000.0,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,750xx,TX,13.8,0,Aug-1996,0,46.0,,6,0,7818,75.9%,23,w,13260.69,13260.69,11490.37,11490.37,6739.31,4751.06,0.0,0.0,0.0,Jan-2021,460.82,Feb-2021,Jan-2021,0,50.0,1,Individual,,,,0,0,62526,0,2,0,2,17.0,54708,40.0,0,1,3920,49.0,10300,0,0,0,3,10421.0,1682.0,82.3,0,0,164.0,168,23,17,3,23.0,46.0,,46.0,7,3,3,3,6,9,4,11,3,6,0.0,0,0,0,39.1,66.7,0,0,93546,62526,9500,83246,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
30000,30000,30000.0, 60 months, 20.89%,809.75,D,D4,SHIFT SUPERVISOR,10+ years,RENT,47141.0,Not Verified,Nov-2018,Fully Paid,n,,,debt_consolidation,Debt consolidation,021xx,MA,17.9,0,Feb-2004,0,,107.0,7,1,12864,61%,11,w,0.0,0.0,41126.69,41126.69,30000.0,11126.69,0.0,0.0,0.0,Dec-2020,22572.07,,Dec-2020,0,,1,Individual,,,,0,0,21779,0,1,1,1,12.0,8915,89.0,0,1,4940,70.0,21100,1,0,1,2,3111.0,3781.0,75.6,0,0,177.0,172,13,12,0,36.0,,12.0,,0,4,6,4,4,2,6,9,6,7,0.0,0,0,1,100.0,75.0,1,0,31100,21779,15500,10000,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,21762.32,N,,,,,,
26000,26000,26000.0, 36 months,  8.46%,820.28,A,A5,,< 1 year,OWN,120000.0,Not Verified,Oct-2018,Current,n,,,debt_consolidation,Debt consolidation,767xx,TX,22.18,0,Aug-2008,1,75.0,,14,0,11065,27.9%,37,w,7128.65,7128.65,22135.34,22135.34,18871.35,3263.99,0.0,0.0,0.0,Jan-2021,820.28,Feb-2021,Jan-2021,0,,1,Individual,,,,0,0,101698,1,4,1,5,5.0,90633,68.0,1,4,5161,38.0,39600,7,5,5,9,7264.0,16660.0,39.0,0,0,122.0,48,8,5,0,20.0,,5.0,,0,5,6,5,5,27,10,10,6,14,0.0,0,0,2,94.6,20.0,0,0,143728,101698,27300,104128,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
4000,4000,3975.0, 36 months, 13.56%,135.86,C,C1,Senior Specialist,10+ years,OWN,55000.0,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,282xx,NC,21.54,0,Feb-2007,0,76.0,,6,0,6327,89.1%,11,f,1397.81,1389.07,3393.49,3372.28,2602.19,791.3,0.0,0.0,0.0,Jan-2021,135.86,Feb-2021,Jan-2021,0,76.0,1,Individual,,,,0,0,20588,0,3,1,1,10.0,14261,48.0,1,1,3441,56.0,7100,0,0,0,2,3431.0,773.0,89.1,0,0,127.0,141,11,10,0,11.0,85.0,21.0,76.0,3,3,3,3,5,5,3,6,3,6,0.0,0,0,2,72.7,100.0,0,0,36547,20588,7100,29447,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
33400,33400,33400.0, 60 months, 14.47%,785.33,C,C2,,,MORTGAGE,65000.0,Verified,Oct-2018,Charged Off,n,,,credit_card,Credit card refinancing,646xx,MO,40.2,0,Jan-2002,3,,,14,0,24866,41.5%,22,w,0.0,0.0,9124.41,9124.41,2365.81,2319.32,0.0,4439.28,799.0704,Apr-2019,785.33,,Oct-2019,0,,1,Joint App,115000.0,35.45,Verified,0,0,224083,0,3,0,0,28.0,30664,37.0,0,0,12488,39.0,59900,1,0,5,0,16006.0,18781.0,49.8,0,0,169.0,200,28,28,2,28.0,,1.0,,0,4,5,5,6,8,10,12,5,14,0.0,0,0,0,100.0,0.0,0,0,320252,55530,37400,82352,81511.0,Jul-1999,3.0,4.0,16.0,38.4,2.0,16.0,0.0,0.0,,N,,,,,,,,,,,,,,,N,,,,,,
2800,2800,2800.0, 36 months,  8.46%,88.34,A,A5,"Manager, Product Lifecycle",2 years,RENT,81000.0,Not Verified,Oct-2018,Fully Paid,n,,,other,Other,930xx,CA,9.81,0,Jan-2013,0,,,6,0,4967,48.2%,6,f,0.0,0.0,3131.7941596876008,3131.79,2800.0,331.79,0.0,0.0,0.0,Oct-2020,1101.29,,Jan-2021,0,,1,Individual,,,,0,0,24195,0,3,0,2,15.0,19228,69.0,0,1,2919,63.0,10300,1,1,0,3,4033.0,4577.0,48.0,0,0,69.0,60,20,15,0,45.0,,15.0,,0,2,3,2,2,3,3,3,3,6,0.0,0,0,0,100.0,0.0,0,0,38195,24195,8800,27895,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
7000,7000,7000.0, 36 months,  7.84%,218.84,A,A4,Agent,10+ years,OWN,115000.0,Source Verified,Oct-2018,Fully Paid,n,,,credit_card,Credit card refinancing,785xx,TX,19.26,0,Apr-2002,0,53.0,,16,0,10007,28.2%,31,w,0.0,0.0,7723.980634028,7723.98,7000.0,723.98,0.0,0.0,0.0,Jul-2020,3350.23,,Dec-2020,0,53.0,1,Individual,,,,0,90,68426,0,6,0,3,14.0,58419,81.0,0,1,3607,64.0,35500,1,7,2,4,4277.0,17056.0,30.7,0,0,198.0,162,23,14,0,40.0,,4.0,,1,4,6,6,6,17,10,14,6,16,0.0,0,0,0,89.3,0.0,0,0,107396,68426,24600,71896,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
21000,21000,21000.0, 60 months, 15.02%,499.81,C,C3,Staff Software Engineer,1 year,RENT,216000.0,Source Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,100xx,NY,3.31,0,Sep-2004,1,,,1,0,20962,91.1%,4,w,14094.63,14094.63,12477.73,12477.73,6905.37,5572.36,0.0,0.0,0.0,Jan-2021,499.81,Feb-2021,Jan-2021,0,,1,Individual,,,,0,0,20962,0,0,0,0,130.0,0,,0,0,20962,91.0,23000,0,0,1,0,20962.0,2038.0,91.1,0,0,130.0,170,90,90,0,90.0,,5.0,,0,1,1,1,3,1,1,3,1,1,0.0,0,0,0,100.0,100.0,0,0,23000,20962,23000,0,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
12000,12000,12000.0, 36 months, 20.89%,451.43,D,D4,Business Office Manager,2 years,RENT,35000.0,Source Verified,Oct-2018,Current,n,,,debt_consolidation,Debt consolidation,486xx,MI,27.19,1,Feb-2006,2,14.0,,13,0,5735,45.5%,17,w,5239.65,5239.65,10820.39,10820.39,6760.35,4060.04,0.0,0.0,0.0,Jan-2021,0.0,Feb-2021,Jan-2021,0,,1,Joint App,110000.0,15.24,Source Verified,0,4570,11181,1,1,0,1,22.0,5446,22.0,3,8,1125,30.0,12600,1,4,4,9,860.0,75.0,93.8,0,0,152.0,53,1,1,0,49.0,,1.0,14.0,0,1,8,1,1,3,12,14,8,13,0.0,0,0,3,86.7,100.0,0,0,36894,11181,1200,24294,6676.0,May-2014,1.0,0.0,7.0,85.5,3.0,5.0,0.0,0.0,,N,CVD19SKIP,REDUCED_HOURS,COMPLETE,2.0,0.0,May-2020,Jul-2020,May-2020,2.0,0.0,ACTIVE,334.76,7079.32,35.71,N,,,,,,
